学习,xué xí,to study,শেখা
工作,gōngzuò,to work,কাজ
学校,xuéxiào,school,স্কুল
老师,lǎoshī,teacher,শিক্ষক
学生,xuéshēng,student,ছাত্র
朋友,péngyǒu,friend,বন্ধু
家庭,jiātíng,family,পরিবার
父母,fùmǔ,parents,পিতা-মাতা
孩子,háizi,child,শিশু
时间,shíjiān,time,সময়
今天,jīntiān,today,আজ
明天,míngtiān,tomorrow,আগামীকাল
昨天,zuótiān,yesterday,গতকাল
早上,zǎoshang,morning,সকাল
晚上,wǎnshang,evening,সন্ধ্যা
吃饭,chīfàn,to eat,খাওয়া
喝水,hēshuǐ,to drink water,পানি পান করা
睡觉,shuìjiào,to sleep,ঘুমানো
起床,qǐchuáng,to get up,ওঠা
回家,huíjiā,to go home,বাড়ি যাওয়া

